"","k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17","k18","k19","k20","k21","k22","k23","k24","k25","k26","k27","k28","k29","k30","k31","k32","k33","k34","k35","k36","k37","k38","k39","k40","k41","k42","k43","k44","k45","k46","k47","k48","k49","k50","k51","k52","k53","k54","k55","k56","k57","k58","k59","k60","k61","k62","k63","k64","k65","k66","k67","k68","k69","k70","k71","k72","k73","k74","k75","k76","k77","k78","k79","k80","k81","k82","k83","k84","k85","k86","k87","k88","k89","k90","k91","k92","k93","k94","k95","k96","k97","k98","k99","k100","k101","k102","k103","k104","k105","k106","k107","k108","k109","k110","k111","k112","k113","k114","k115","k116","k117","k118","k119","k120","k121","k122","k123","k124","k125","k126","k127","k128","k129","k130","k131","k132","k133","k134","k135","k136","k137","k138","k139","k140","k141","k142","k143","k144","k145","k146","k147","k148","k149","k150"
"B1",636.04688700295,668.604920306427,533.05486140662,450.675128387769,402.431345808062,370.206183178809,332.378875276498,313.15223258504,287.891350011598,273.057650656086,259.892916761127,245.652835102505,232.844677452519,221.058288296007,214.542142164722,205.633994735573,196.362086909887,190.03684955868,183.70309308118,179.087998427781,175.843366613373,171.745815421961,168.927488407098,165.110090980723,163.459522316939,159.612086899239,155.917588234505,152.872122795689,150.458142524372,148.394433315761,145.639215750887,143.712774535636,140.88110915654,138.249987956122,136.193067275671,134.211654735051,132.770499052677,131.208257657724,130.610083734479,129.921899551399,128.224571078917,127.300585042063,125.421426274537,123.497254192886,122.023513778419,120.213374607135,119.345946818935,118.163986246256,117.17386644097,116.357347547259,116.006199537698,115.158923277142,114.176906828807,113.916831693317,113.271811126877,112.11105127774,110.82786688341,109.835185042496,108.543595229921,107.458404248307,106.196514039842,105.933522954797,105.149938397224,104.170576452193,104.253208823035,103.528943788806,102.778902020576,102.063185070673,100.967896610667,100.279580329234,99.4614930585478,98.6788383861917,97.9766621124957,97.0797568302628,96.4603184908685,96.0075458265021,95.398226263848,94.8121114314302,94.5711675218431,93.9222283949019,93.2834157278384,92.5998345408223,92.131568501455,91.9871622014943,91.6890413296749,91.2865844405725,90.4744306921264,89.990791957727,89.731459814319,89.5979421088578,90.2217876513965,89.7435023975159,89.0245367500001,88.6397290699484,88.0706821785505,87.9875515806885,87.8315423588724,87.5067387104178,87.1937947464263,86.6942576799594,86.5775113657456,86.2637331371636,85.8104942827187,85.611796915029,85.3984628163806,85.0081326875616,84.6447838550909,84.311306122209,84.0225877585619,83.6788226187618,83.67853713983,83.8085935529876,83.3103369605989,82.9596466908372,82.5742110720708,82.2635240188176,82.1712753042947,82.1027721427148,81.6462308487713,81.4460277117787,81.014831285386,80.7608702219613,80.7843187087584,80.3805910929224,79.9766577855579,79.4905521884207,79.0884894500116,79.2689245722086,79.0710085834689,79.0226448316835,78.7027337249646,78.5063030505121,78.5340148464568,78.1890504656696,77.8902586247041,77.6768723684405,77.4685052683295,77.1795047283987,77.2469481654428,77.0073231267251,76.6812604166755,76.5631738495716,76.3282723742985,76.2992946246594,75.9745355807494,75.7092551954986,75.4348025150294,75.1386323994915,75.0133349735177
"B2",616.664388136505,623.013651624763,484.893096684604,423.828994455932,385.243533751547,337.432473177415,308.871859090044,285.713565776431,263.008222476881,245.752262791193,230.580559110813,216.862370663947,209.124021680903,199.75283200261,192.942843487546,184.916228454215,178.486442178187,173.155017453296,168.106887119547,165.258083691812,160.543637207769,157.734547645579,153.524665643842,151.602439166347,147.322680605423,143.383482055687,141.801824999505,140.292714878953,138.165554256481,135.937994488856,133.990793195103,131.141468250841,129.393292188799,127.234821141911,125.386961816991,123.03670086138,121.861935554995,120.337253307849,118.35779206624,117.41808065989,116.200076360934,114.65266236036,113.986535407149,112.860477866032,111.456644644625,110.710043723695,109.923101916831,108.96850128943,107.517867278634,106.495123089753,106.180772201096,105.122032761899,103.764708843117,102.528153098498,101.421441226589,100.242526713773,99.341264098424,98.7184557745065,97.9050289102342,97.1295888780624,96.4134712492496,95.3861285909348,95.7247229965224,96.2733791901535,95.4049844976139,94.5756756546024,94.1604792713907,93.1899874214093,92.5341754656525,91.7564606613319,90.7973371528138,90.3927285920067,89.8009453180016,89.5522543628836,88.8081306316177,88.4079033379179,87.794002728574,87.1908146549343,86.9427827964027,87.0077611079416,86.7225545061675,85.8985372045598,85.2429019324494,84.7096290021207,84.2249662683571,83.8152718676485,83.0850044225503,82.7123612491306,82.1734527789075,81.7025041786692,81.841135436053,81.729745614777,81.3798374599886,80.8182876510137,80.3633951329397,80.1025623683096,79.8305323567524,79.5651401539894,79.2733095602625,78.9030692668631,78.811276236771,78.5042124084946,78.1960093349903,78.1615315112525,78.1539129999605,78.2743276293452,78.0407458326646,77.6189784685647,77.3015947631714,76.8169064182911,77.0762902035446,76.9559208632468,76.7250202531728,76.688518875619,76.3497399623173,76.471163611818,76.2648416909837,75.939106056817,75.5381119082129,75.3570903260415,75.0452473925069,74.6808645170934,74.4283889965934,73.9909070570598,73.7402921531491,73.7696365928145,73.576279530665,73.3372450257786,73.3409955791644,72.9870725773316,72.8844040064255,72.9072289014563,72.9325667154034,72.8622335812772,72.6262477344341,72.5513486171725,72.3015822837416,71.9138422396851,71.8596669711432,71.6488886211835,71.3961464299259,71.293513299522,71.0150814953183,70.680678734501,70.3971044648569,70.2357748895946,70.1950962691309,70.0747785182555,70.1139146063802
"B3",627.710837803134,601.073405711606,481.465875494439,422.6164564882,382.259116949022,354.066562300508,326.709118260124,297.825207354903,274.495166880399,265.460390095802,253.280436096951,241.489966540157,232.549714073059,221.307337893127,210.383200561552,201.127625687397,194.445453446606,188.824736421837,182.442378992772,177.596773663242,173.239210290807,168.802813235692,164.482283738035,161.159652221121,157.453565305572,153.139874665281,150.834010142492,148.863308777823,146.117482682146,143.638757439854,140.770831731982,137.802136895147,135.258970415219,132.94351744497,131.054384862057,129.029339863633,127.939309229026,125.341920952484,124.084337482721,123.710345024819,122.851002453132,122.385301020793,121.297749758734,120.249088686724,118.569458141952,117.407245587509,116.3519933913,114.895136457425,113.834944851278,113.551254176093,112.563239646039,111.488140900671,111.644541932134,111.651507909857,111.185149842546,110.253293366436,108.943753862931,108.134358507198,107.184467675856,106.97411854607,105.907379177327,105.071195553892,104.142701802637,103.560105251085,102.820728016875,102.305943463794,101.802238796622,101.069896989607,100.091989779951,100.079378169143,99.2042305767377,98.5639802326309,97.5609507589094,97.1662770480474,96.6453757135964,95.6960855936616,95.1104247429415,94.6798528778764,93.9745115038957,93.5194219930686,93.2824423886876,92.6854252257945,91.9001794675803,91.3211745341488,90.8255917078028,90.3966335267488,90.2731817547053,89.8332963185847,89.8704254612496,89.3093881442858,88.8472806572323,88.3434627105149,88.1509031575239,87.6599044465762,87.3274431142712,86.8296403185574,86.4071894967698,86.2115488244095,85.830454458578,85.255114298848,85.4786038035299,85.3712692182916,84.9504875572861,84.5281505680216,84.2450765335003,83.9537099900173,83.4495276879605,82.8562286523859,82.5747493759315,82.2194919831662,82.0181645599798,82.1114479489247,81.6815669031443,81.1545323703069,80.9220068143878,80.5521346920494,80.4955620632497,80.1012165543014,79.8206614248056,79.5896983099028,79.2259190169281,78.9495398322707,78.5521718140008,78.1000795967403,77.8383281023692,77.5668781348584,77.4243038444844,77.2041773415196,77.2853944624512,76.9123062329929,76.8826539781609,76.6475701148789,76.4748515575149,76.5690496324869,76.1690617688441,75.9689868559737,75.7125139867657,75.3108072592434,75.0967995096651,74.9839496891901,74.8472225140724,74.5676488698459,74.176930729289,74.2316155133718,74.3805358143455,74.0811621653146,73.7228562557392,73.437364316481,73.4774481670312
"B4",614.741798886308,656.232221433452,537.722946788477,455.40655350929,408.029173456726,372.204177116488,343.61973635649,310.221475425786,287.705163267441,267.422319295489,255.675470025038,239.275369594131,224.692242375058,213.122774312524,204.504262573665,198.048308691417,191.582809773645,184.669354488527,177.360716402952,174.633360686169,170.405670059992,165.698436740319,160.381301785423,156.178530347118,154.454025659339,151.756902872667,149.435170261285,146.262327259463,143.163921231974,140.290606270476,137.836865515887,135.949220447871,134.450454672819,131.729616677053,130.00840447389,127.396185344237,125.47772375798,123.833164239989,123.37931998764,122.206675629434,120.912079571904,119.304794072049,118.350436497818,117.153102873534,115.740419591497,114.519552734721,114.344984583203,112.869267722383,111.662071692191,110.639004473037,109.995256965697,109.118031909582,108.111877745498,106.761213360676,105.769857612762,104.416756764298,105.867808268271,105.349582143501,104.127978074292,103.396612097939,102.609856844166,101.920885571891,101.299639031432,100.477749930967,99.8315385659108,99.1209465401646,98.3254200917445,97.6639653356934,97.4178673921444,96.6164751326608,96.136004643993,95.4359893131583,94.5312927985503,93.9898500679974,93.0429355227817,92.8829799252252,92.1892085446956,92.1503332457999,91.746618597548,91.0745237573399,90.6279475656831,90.5577964384809,89.8907899431887,90.1342804874885,89.5256923939525,88.968872442976,88.5648890952667,88.0171030214184,87.7759514446592,87.0137846541772,86.6941436721039,86.2698860428281,86.5754309180881,86.0032641167314,85.7667193211422,85.2704710934019,84.763820820761,84.5340427579251,84.2627308181328,83.7894208304613,83.3798556556039,83.1471979342647,82.6092961952813,82.2795330930783,81.9616277822971,82.158177035882,81.8526890311989,81.800253714983,81.4986618803683,81.2588595151318,80.6997553089781,80.4961545132962,80.3670544007531,79.9168209600214,79.6220470706336,79.2192178725738,78.8603924346257,78.6647241095126,78.3784293989435,78.0286615515997,77.9800204950105,77.7752030158048,77.5264176134432,77.2457043112806,77.2873139012209,77.3250836886739,77.0915330784409,76.7062043300752,76.351804842891,76.5819290800497,76.4350523820622,76.1380252762686,75.8216838279826,75.5688881488623,75.2098239292122,74.8133936153017,74.8759342647204,74.4876070056073,74.2125570091264,74.1056559119548,73.9071372914048,73.6783491038431,73.3628411899101,73.2437655292772,73.1564208524251,72.9333214629256,72.6330540467489,72.8191617874129,72.693693813618
"B5",655.102745039548,646.467305704498,520.045167655742,442.089181190666,393.279872773564,364.871397064862,332.508601396256,308.491941055353,285.938560336806,267.322843582249,259.350592776513,243.959609012475,231.682341202616,220.276702855445,209.274726813212,201.905994059673,194.196297513864,186.832717824079,181.797723705033,176.629967250344,170.781894958637,166.684152280731,163.203494463871,158.478160792424,155.289631102417,151.941264234735,148.776070666494,145.549092962101,143.354371048936,141.391396269257,138.44075249578,136.639893331958,134.715587715774,133.255056131346,131.176000878741,129.323374941005,128.277107579327,126.649947964809,124.40487834305,123.034740657387,121.606370410293,120.260199122886,119.14472064687,117.30097842769,115.809164138313,114.961409857248,113.87443597865,112.244030359212,111.013835792467,109.741577311586,108.633126682827,106.999918817454,106.440716453124,105.039914139727,104.014820711452,102.895137748944,101.628808988799,100.751331407088,99.8866122260673,99.252764109579,98.5477236765866,98.7045070436065,97.9849856353478,97.8325796507232,97.0212269169003,96.4084095687416,95.8733291186452,95.2802918542637,94.2720140884165,93.5355822988659,93.4258699602332,94.3477817609468,93.7417384106135,93.0246542922437,92.460811114144,91.8792263090743,91.441428001556,91.0370211483935,90.6571105392143,90.7860766542512,90.2768015992414,89.7171152867483,89.613930719856,88.8173878085641,88.0282627079465,87.8446647409627,87.298261331148,86.592231559832,86.1978219951229,85.9290422387516,85.7527042608184,85.2784191524251,84.849134019623,84.5304951359128,83.9704636860029,83.5969394612159,83.0962403995715,83.2036653576698,82.6717624368726,82.0399846269114,81.8809217610569,81.4956891850272,81.3372119627534,80.8844145157557,80.7393062745526,80.4913865764658,80.0235788723664,79.6929044343523,79.3058566201837,79.0780316200579,78.9354001444785,78.7884780999375,78.4525238792227,78.2369197465216,78.3467769567851,78.3347118516308,78.0257399427455,77.5328927958201,77.292514245823,77.3698771493474,77.4350152893434,77.2742326687402,77.3820132839803,76.9766061820769,76.7791919563594,76.5762127689639,76.3104268780285,75.9844838088737,75.6699229689571,75.476058831099,75.145813000269,74.8796767376424,74.952199195174,74.6545341145028,74.6181704954119,74.3411525822261,73.9874061733965,73.9822464908058,73.7412334786611,73.5354696662427,73.5262826032951,73.1989277772631,73.0099087581317,72.8149669348993,72.5035029235259,72.7251569196828,72.4873387688917,72.3630313928264,72.2049695814403
"B6",585.583081174772,595.887571322237,483.346995888871,411.023300785436,365.359640410558,330.183825770612,308.906477697814,284.349352362559,264.397634356411,248.509237282634,233.097964743461,218.964716284678,210.48664026232,202.745117765864,193.579683212943,186.402266546428,179.133356693655,173.207743238071,167.141023188785,164.133116695324,159.790337464171,158.061895954355,154.461848187606,149.965100802575,146.54056326537,142.464973967881,139.517987977825,135.549648233804,132.555314077877,129.459430117776,127.075550187156,124.83941940686,122.775560686152,121.187212961134,120.597718829855,119.046208469166,116.812598585026,115.206978741288,113.494896310009,111.633948922753,110.258564459159,109.597001353234,108.211748113903,106.927448147996,106.119876979413,104.83278656904,103.43346829552,102.549644338504,102.088765203185,100.883702615675,100.228174449101,99.4842040232255,98.5434045131755,99.1983842852308,98.5964424498438,97.8720226678915,97.2686698788216,96.3377533205577,95.4939157339735,94.8613693688434,94.2141724814454,93.3291143115686,92.8905258541945,91.9290658969532,91.3009913711211,91.3570775637726,90.6226061317936,90.1927380698751,89.5538897475728,89.2900316878953,88.4125673631936,87.8399250797748,87.1935364181774,86.615735273973,86.2857889256475,85.4402153678125,84.8027880600669,84.2599964178495,83.6919983599986,83.6654100450885,83.2222493252902,82.8501377140426,83.239810822662,82.7383011308841,83.5799668383438,82.9722618663449,82.514594698325,82.6960142933945,82.1297963201416,81.6062839058799,81.1943868638517,80.7788694144749,80.3741520832941,79.973361278806,79.4780376302535,79.7215416269861,79.0897779314741,79.3256447316676,78.985190734397,78.6490571623914,78.1990466326257,78.0858436333164,77.6260491956601,77.4394753094887,77.311266870152,77.1810717492836,77.1383798666972,76.8458106046992,76.5560601176374,76.2554629731632,76.372096589352,75.942663519898,75.7598491095933,75.5593339369794,75.6998646217183,75.4295474220713,75.3357198566005,75.094634586333,74.6662412485538,74.5498758345907,74.2324696244362,74.0876430624243,73.7210501915172,73.802494325404,73.530958695068,73.0753545201018,72.782406805015,72.5439637089704,72.3727615128587,72.2055032874385,72.0225003553916,71.6576615999115,71.390998587719,71.0774574404136,70.7694957173946,70.5757241627849,70.5441394681862,70.4160447815974,70.5621800859615,70.3583743648989,70.491103763448,70.1793472459609,69.8161766561524,69.6233489551011,69.372906330562,69.3725606377613,69.0724260751723,68.7644440536563,68.7516770126061
"B7",652.164142739102,625.141758895738,504.06915835968,426.943785249816,398.425364580836,364.902855230914,335.460910822707,307.793579751276,286.151827539731,273.822741814796,256.444273029334,242.317291994133,233.017119066024,221.655558986478,214.58459528913,205.70272938409,200.639959337799,194.535915400881,187.951616300565,182.778552403551,177.500205296805,174.817167115853,170.05237730996,166.526134883298,162.739921414746,159.3950293886,157.106898799959,153.91200459141,151.392055265921,147.709677313538,144.852996146185,143.521756569647,141.23536665005,138.043112405532,135.697049525284,133.049593116507,130.432152901867,128.29580623052,126.92181526342,125.621645493081,125.320599564184,123.808607183837,122.261114015214,120.533414284516,119.562693649722,118.617474663219,117.600697069848,116.58342868733,115.100509514991,113.528536058707,112.352243870992,111.810666614634,111.07286523877,110.234519726259,110.041808476996,109.859017218963,108.516342857201,107.824127385252,106.866464965885,106.113752432717,105.151003869643,104.456111512217,103.76271569679,102.55952917752,101.871659810233,101.070558305331,100.202846280974,99.9981366939628,98.9327871760195,98.4184630634791,97.5386924604134,96.9308478960543,96.1594397785024,96.1688907739959,95.7518654286395,95.166318358157,94.9318417594585,94.2150471405277,93.3002097036117,93.2630487927538,92.87251682697,92.5038239766269,91.9210894522127,91.3264096293892,90.6501956972224,90.3160740012739,90.6636775306842,90.1718593697837,89.5138843081562,89.1253311637739,88.8244804986567,88.2740981951374,87.571318567286,86.9534504757799,86.5841810117274,86.4782106833373,86.1647751102379,85.9694777505935,85.921457944525,85.6001990716756,84.9730726740382,84.7836073487113,85.0370553308982,84.5632825628381,84.2303641572033,83.6578943742519,83.1679945453541,82.5766951463173,82.0499392935319,81.7847297558553,81.7273046339808,81.3729209410823,81.1229879702673,80.6613784652346,80.718051266633,80.4012213153699,80.5095084885334,80.2465140541581,79.9358451710683,79.5234995240222,79.2344828320779,78.796976287301,78.6765903584458,78.4448298495871,78.1925096540052,77.9525106144578,77.8455748468569,77.7364061229773,77.4613966442507,77.22390960462,76.9434629018801,76.6777805590366,76.9109857551148,76.5654811586892,76.5038415549282,76.4247906487749,76.0888738789662,76.280719878558,76.0605912742199,76.0769475644216,75.7978115521525,75.5416714021043,75.3780708835899,75.0601086858592,74.8923635467618,74.6899289049845,74.4673672861058,74.4554742476619,74.4738073453786
"B8",602.730654275233,583.194874899703,474.737639756326,412.415812931955,372.495805126329,342.051147111319,310.87396892049,284.763883163633,261.562730035031,243.190744295135,233.329536248591,220.492447465601,212.692723846319,205.045703930065,195.694916586756,189.378345792291,183.100114652387,175.698938433354,171.023719416148,165.316742644918,161.309816545579,157.134486685872,154.104577314187,150.890988655369,147.774347780161,143.41699247256,139.746662597428,138.028510327778,135.722171209931,133.614070805173,131.459667864624,129.204087222717,128.237592238942,125.925427517929,123.787622224175,122.130406486791,120.79511349774,119.652522415046,117.922351103849,117.177939383336,116.107490182925,115.7260048936,114.190126468152,112.738324169164,111.425134917178,109.695655109284,108.513270779533,107.334487896586,105.830258402231,106.6490896066,105.60547120612,104.25331670206,103.64537075735,102.342696923917,101.483731441863,100.967582525677,100.530554941204,99.7603780446123,98.8252279537637,98.4819790700769,97.6902197844371,97.2102270322261,96.6255633784905,95.8256786640379,95.1017004054288,94.2912670540662,93.6480060046796,92.9482570557233,93.5037329030571,92.9501804833597,92.3167349644857,91.4151152836374,91.5263117774542,92.1565838506227,91.4376505946531,90.901321193427,90.6926042454587,90.3054028142453,89.8828914851785,89.1214052182072,88.6629983430696,88.2862880603996,87.6984976521762,87.8997732130766,87.3525073332294,86.9378260897533,86.978176388894,86.3127171808156,86.3427335890689,85.8442007371106,85.1511817279107,84.8618229052768,84.2863054313193,83.6129314472523,83.0632543533118,82.9393006645978,82.5907677122722,82.3943866676354,81.7781088629452,81.3154814756868,81.1696401223679,80.9651639768475,80.6594314637586,80.8748773567359,80.594671778813,80.2262340310949,79.8559678787714,79.4531377837477,79.1238521431476,78.737019614361,78.213296034017,77.8791729245963,77.8590023393083,77.730953926755,77.4670608619991,77.3599801142282,76.8725571078109,76.5876519670527,76.572779782208,76.2392075025542,76.0000277275492,75.7299536098335,75.7199723295763,76.0004972947161,75.7453972720242,75.3738827078976,75.0161266318965,74.5644478507383,74.4646709071293,74.2290390949829,74.3008448258257,74.1225863923253,73.8937325571994,73.5486382206092,73.4103342670797,73.0989744744012,72.7346709642348,72.5105909743365,72.4029835779727,72.1247753454625,71.864341130869,71.5708099989875,71.2031815897891,70.9435638694002,70.6316516800436,70.3163495678612,70.3572176878472,70.043653620062,69.9094063068059
"B9",729.625039446555,707.53445627989,551.345825155175,478.711624320176,427.420347480844,383.4626396915,348.554377129343,315.882769915832,291.913634640761,268.883848186088,258.69045314575,244.368193690603,231.478492346693,219.594216579005,211.651133309141,205.084888157288,199.30574892638,192.569979809872,186.802038296027,180.629044819275,177.769936519987,173.525586501874,168.229533651315,163.766327386033,159.831459558374,155.379868816731,152.334984965152,149.234835809717,146.987850051598,144.468050330576,141.962713794343,139.585954301283,138.153434695595,136.072813547135,135.292248894187,132.954692670349,131.657610493184,129.704631957445,127.176403610545,126.017010704552,125.304318028588,123.644062308362,122.159784514875,120.3770530747,118.961262271955,117.541016047785,116.703945368642,115.121727748593,114.121470678678,113.055842657621,112.184129743455,111.376358971845,110.627518538302,109.19351370167,110.061493879475,109.080150441044,108.057630058003,107.300522239874,106.212164528965,105.799425049618,104.623551021697,103.393665394729,103.084241726681,102.282778109369,101.604887771432,100.905661667236,100.299296169084,99.5991541687514,98.502457240241,97.8989908853237,97.2635261819498,96.520823348575,95.9420207755201,95.153593124351,94.6620490771961,93.9687950640622,93.4589260467687,93.9125000947977,93.9110761334965,93.3329772860484,92.786057098119,92.1431524664863,91.5381229637595,91.3128132446602,90.8137161329319,90.9899678214771,90.184359393251,89.3779521882106,88.7430950401571,88.4809913381633,87.7926081445181,87.68417967626,87.1667833320312,86.5972203595328,86.2338924960493,85.9517771637426,85.8862570555101,85.5636784434371,85.1765225807688,84.6386032735064,84.4313530505662,84.2366837497161,83.9064615149744,83.4988802113606,83.0614099324157,82.7377742223852,82.3494191533292,81.9714046514664,81.4979951379958,81.4702558916424,81.2606456455556,80.8736302708729,80.6717056666712,80.331338172887,80.2320440432406,80.1865681312126,79.8407293317821,79.3960192878745,79.7548183152905,79.6507401709869,79.3515212156967,79.1850072162101,78.7863704829518,78.6904884582374,78.4411253894963,78.2840257418976,77.9023925966023,78.0698305391114,77.7584824052579,77.4697061568461,77.0718719070424,77.0692378215972,76.7339279804696,76.5138370243219,76.2927417085923,76.4186769515235,76.1219167377725,75.9592036802306,75.7620852564253,75.584996024984,75.3933396651542,75.2202192179263,75.2075450741541,75.0847004271197,75.2924836806991,75.0621398211216,74.9420380288203,74.7756731389583,74.4837495939395
"B10",600.039700520571,589.396162520713,495.31260617772,434.385715201774,396.437412378416,358.340654397792,329.03851810041,299.836391796095,277.311633369324,269.138136936004,253.709473352894,240.173186234554,226.915325939678,219.194893409098,211.651222313485,203.73880383379,197.807877648509,191.772463139035,185.326084530287,179.471405249072,174.879131343521,170.166098249208,166.612415689776,161.549510054407,157.767333833185,154.817224424784,151.669327058,147.951861463454,144.858302402365,142.013453654472,139.984904399259,138.40112155466,135.715255955763,132.829067395737,132.00605339831,130.156131455102,128.614270250027,126.970845301583,125.611675555374,123.608958133782,122.144779964088,120.889214343445,119.395678017607,119.770441734315,118.64748696861,117.264705187744,115.755058740687,114.115411655584,113.187131865904,111.640675723419,110.287037207059,109.095944082661,107.925006293919,107.518171829639,106.550132139372,105.51351632801,104.510961679422,103.42763116188,102.571316574642,102.77936471161,102.219682155197,101.463712171556,100.358442366089,99.7429639424823,99.2681824519626,98.5074394202315,98.2426795649463,97.5899387464598,96.8601594632187,95.9570957766346,94.9273497909755,94.1910000708638,93.537575595198,93.0021632411347,92.2738360433712,92.5291701226353,91.8283519267226,90.9149708367188,90.0739141674764,89.5491947410788,89.6213839468131,89.8677857119383,89.3453244080876,88.8332770366013,88.4967231882856,88.2265003662268,88.0086413824356,87.7439389056405,87.3043195958363,87.0170075080229,87.0097426590026,86.4838027806974,85.9187419501918,85.6479517826616,85.0843648649772,84.4245700788659,84.2430242021746,83.770467165931,83.2513620816001,82.8898286808689,82.4611865863176,82.1905600054965,82.0220473298365,81.9161550268059,81.4167999653667,81.1622396578034,80.7568891636046,80.3562232330176,80.4157423434038,80.0107196956539,79.6386968720128,79.4018250018869,79.3686058563459,79.1148381245403,78.8780935104195,78.3335902409627,77.87093391115,77.4675690323298,77.3713106976055,77.5666194933494,77.3361898694289,76.9932063061714,76.7340116584582,76.5518171775808,76.4772870429199,76.2183598963037,75.9923659274516,75.9029589772176,75.5831354537347,75.2837884186102,74.8920693420352,74.9884795382452,74.7894757847586,74.6255282509986,74.2488034663505,74.196415195514,73.8204131049436,73.6045804696882,73.8277758183604,73.4954816129591,73.2664307718278,73.0843040686797,72.7597102830596,72.6347177220679,72.6622862211414,72.4818865440393,72.3529836844541,72.1245327212205,71.8421790003751
