"","k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17","k18","k19","k20","k21","k22","k23","k24","k25","k26","k27","k28","k29","k30","k31","k32","k33","k34","k35","k36","k37","k38","k39","k40","k41","k42","k43","k44","k45","k46","k47","k48","k49","k50","k51","k52","k53","k54","k55","k56","k57","k58","k59","k60","k61","k62","k63","k64","k65","k66","k67","k68","k69","k70","k71","k72","k73","k74","k75","k76","k77","k78","k79","k80","k81","k82","k83","k84","k85","k86","k87","k88","k89","k90","k91","k92","k93","k94","k95","k96","k97","k98","k99","k100","k101","k102","k103","k104","k105","k106","k107","k108","k109","k110","k111","k112","k113","k114","k115","k116","k117","k118","k119","k120","k121","k122","k123","k124","k125","k126","k127","k128","k129","k130","k131","k132","k133","k134","k135","k136","k137","k138","k139","k140","k141","k142","k143","k144","k145","k146","k147","k148","k149","k150"
"B1",274.405542569294,250.05544639042,222.214572168292,216.300154622051,210.208482741851,204.540496953745,208.357243708303,204.768021330001,207.980625916561,203.096652305436,202.772836155163,202.227503220434,198.191668433971,200.387861349889,202.193695390848,199.237802076371,200.411916713416,207.294853975785,207.495148472805,208.792656679463,209.940621128154,214.351726311594,217.907378490936,216.9628984596,219.214673144378,223.399328511307,224.594676128835,227.737441701696,227.035489300781,230.19549816967,232.972811180396,233.995884817276,234.218096582576,234.313653242474,236.012466293024,236.259663206731,238.873033675758,238.985187881071,238.768448519668,239.982893395006,240.253287318091,237.83141167129,238.090957047052,238.985581895893,237.73077452632,237.494517115594,236.198920424706,234.640912125371,231.653829901965,231.069345583423,230.660430585678,228.606501278149,226.459547852206,225.583821825118,224.812000813748,224.356094171127,224.167598265381,224.338322195158,223.194808959881,222.960514205977,221.033453496229,219.078205979195,221.034248241624,220.47036920169,219.524443223071,219.362853550273,218.673213553834,217.220786021368,216.303284252074,217.372175821945,217.581702809972,216.739257136119,216.517131794979,215.356335586588,213.755215150245,212.999781004494,212.478286807306,212.679263349875,211.373643808351,209.802523990695,208.928762288581,208.741518433188,209.014473428006,207.655794150018,206.872193696753,205.273015294865,204.731530922903,204.872233847859,204.477715455658,204.44475203556,203.849056228522,202.463783502253,201.491983440834,200.888073208221,199.799823992697,200.730548298482,200.452751439,199.878488259421,201.298027434396,199.765246915548,201.006650667469,200.664704056792,200.450538230022,199.474524740689,198.156770174704,198.002572552797,197.294772937191,196.22597401464,195.681851300415,195.046954663872,194.582822355344,195.558142099796,194.418194004319,194.007241592515,193.591657937545,194.1128224945,193.848585372265,193.077233309461,192.56448612739,192.1575664179,193.214354021769,193.19235594465,192.257531733894,191.786092036529,191.29540761811,191.114478826917,191.779060282149,191.353183779573,192.015151299151,191.308255457334,190.915562261886,190.32765157485,189.524123095258,190.039689411825,189.084610237751,188.715715767373,189.356702356826,189.486875663544,189.140441476982,188.92260844217,188.343077852999,188.819439991624,188.470934200234,188.291143925566,187.40381209312,187.317704166543,186.721440521935,185.883608226073,185.20655485716
"B2",314.017068538939,274.315692875239,238.581341401859,224.149431800539,210.334662585346,208.660358965212,208.118779286422,206.191264610833,204.060706195951,201.798005844441,200.109232214758,203.010140378585,200.856854741915,199.682955553036,199.707184392045,202.136137114853,204.704386055424,207.550962390329,208.606382569269,214.251367272893,212.993889722281,213.247800836598,218.074726105798,217.015173347104,217.709012578706,219.608277094913,224.497051252861,226.696539830874,230.29543678114,233.365896913424,234.423429055487,235.507352969095,235.039757548388,235.85404151394,239.181563549938,237.426084152589,235.503378264386,235.995263158088,235.562247103573,235.545297382129,238.109042133441,237.942291354539,238.337694868926,236.841977955859,236.383408309761,237.491073207783,236.019078553282,239.476476143986,237.934769910507,236.671009877995,234.989439697808,232.272318768127,230.957643425133,233.809666559515,232.96574219987,231.599065435233,229.996158360263,230.139387936026,229.986727657674,227.832706963471,227.964008681852,228.629061643069,226.690920860258,224.988833322004,223.316606861257,223.347830430047,222.26037816463,221.167601966744,221.665600468608,220.088354209733,218.868143148645,217.172846574176,216.466991821231,215.60611426735,216.825501445071,216.641620505344,216.798949494625,216.305490897557,216.672371659989,215.144874019454,213.290348279055,212.295864784285,212.145573699021,210.465144678005,212.009894928705,210.911095965454,209.302884168337,208.850957725657,207.607604439949,206.970363009216,206.557792778033,205.377516034211,204.413244845592,204.137485721275,202.96628426771,202.930459170176,202.501932721342,203.773576885543,203.237859552392,202.53182901548,202.074865406571,203.050966086722,204.068530187093,203.57706801912,202.179101654002,201.242118842819,200.028287837471,199.185442612063,198.962782228638,199.89538359025,198.85426319502,198.236433161794,197.635061790944,198.054341613406,197.677785445301,197.174370065073,197.182550635959,196.173787537219,195.803978432208,195.574097961136,194.703595853259,194.466974641693,193.353641237808,192.803064661614,193.141178325282,194.043795419119,193.737716585931,193.121611126205,192.733168906442,191.8027633936,191.924922175227,192.471616176199,191.544039217019,191.096396556558,190.21438374224,189.848473993146,189.392729835302,188.60388717602,189.263098469279,189.955844658135,189.455336341387,189.506643730109,189.051230830071,189.009765967127,188.769199026153,187.897647755011,188.408802921247,189.372123648462,188.716448358125
"B3",317.956761258207,277.032940620676,245.660941580983,227.032961796541,221.524772244874,221.749830143928,215.785442166058,212.565221702366,208.001461330078,206.877711380834,206.110246787084,205.789953361984,204.524294733552,202.194304709604,204.660240865982,207.020845774996,204.895559308995,204.277789306617,207.556388036319,209.181949128326,209.844512863155,213.835676348379,214.129737009858,217.935529896028,218.415461234324,223.684694258521,224.255063179108,226.565303790596,228.664887087044,233.227551727624,233.334842535363,233.619404571696,233.789385203422,232.953344104163,235.977931862346,234.165364921632,234.101811502844,236.908921991171,236.390704338328,236.680503077751,237.790024605466,237.924409971868,235.98495519383,236.502859943805,236.370070760857,237.328755049213,236.174616940678,234.536662858523,233.29785004573,235.665876691577,235.388775055846,232.647534882777,232.902367352926,231.927345160748,231.766109805952,230.889226655375,229.569523180108,229.139733897987,228.406331023469,228.224837603443,226.785489828322,225.028222526756,225.158124928497,224.297850626091,222.59839019289,220.748990829213,220.168664302471,219.398748799495,219.49003508621,219.455819564104,218.770340717803,217.90553745945,218.010509695265,216.886267255613,215.479033887014,213.973913028438,212.213793366973,211.00770441886,209.945053006622,209.108605794204,207.850549448805,208.499284755397,208.829256631115,209.211636519963,210.809837380884,209.161892945839,207.588918323027,206.124424666847,205.654407609399,205.644276473477,207.150612938123,205.993444608809,204.568585840958,203.708800637088,203.139439948381,202.258492225111,201.459957884627,201.055471334529,200.449265138926,201.596176630596,201.361245925787,200.737865624889,202.082128216162,201.53918883809,200.988183293878,201.665147797949,201.962959037766,201.085760869024,202.059774862038,201.201679472455,200.946828881299,200.439534374983,201.305847407861,201.077390962261,200.533123668708,201.216714780582,200.228898545462,199.171804753709,198.877081755839,198.387473412202,197.786162100206,196.834315138636,197.184828247677,197.094669862962,196.760162891846,196.330103031555,197.514428008969,196.470055002062,195.852955924815,195.33261000861,194.99515941777,194.249448044452,193.852613470789,193.218612619021,193.757440396269,193.110279438442,193.932240525039,193.619479836273,193.308655194372,192.368813312191,192.032915852159,191.766834240764,191.245308454597,190.889831075693,191.149799744619,190.747621529441,189.930848463717,189.945966818844,190.295171381483
"B4",295.312073741824,260.608879680876,249.54145617868,218.961174938772,216.800424684017,210.367540770418,207.029002094779,202.096600205413,201.541558948696,205.045080209187,203.84499949982,204.499055219446,202.19443678072,205.23154761948,208.395801283668,210.407678340067,207.023190668181,210.461744266829,210.121475371244,212.546005878734,214.481034916956,213.630984812591,215.409022029472,222.014930201098,226.435473036341,230.728484564325,231.553557524641,232.509016072484,234.48227455148,236.513391371002,235.674682524531,237.03643466573,239.776660199067,240.009612703619,238.265132911018,238.952233681542,239.234894550602,241.075504175653,240.973653351234,241.068166744284,242.686588494524,244.312933814826,243.875122571365,247.412659744176,249.454626562915,248.799135828889,246.949127085388,245.853613179325,245.577239488869,242.533481907133,241.100932867831,238.844172654765,237.434713586511,237.217030845108,236.397010075965,236.336072566063,234.039406242505,233.371967963629,231.371210705611,229.467050062201,228.719629643972,229.76354312304,229.43564735913,228.634178464306,229.598106630455,230.048577553099,228.88956559976,227.444110305154,225.753907406725,224.844537793139,223.965948017303,224.119645610606,222.553480042309,220.658747378079,219.1091193066,218.175051043233,216.398471543222,218.305121846922,217.189214043514,215.444689590275,213.935755227938,212.961308695266,211.857486881299,213.801988274655,214.044585400678,213.308006136277,212.923587890683,212.499631306539,212.665634299375,211.581791992098,213.482514847256,213.035438367078,211.662386281929,211.163295100037,210.99453806921,209.3578737843,209.620555365737,208.118255665433,207.818008167945,207.820876236797,207.099150818343,206.996868706331,206.3602842376,207.083114061387,205.669126813386,204.808126900858,205.029512774252,205.60774568304,204.99417725866,204.539577330026,203.725469806467,203.564288803111,202.993552256985,201.826877253707,200.789315119034,201.686962054307,201.262860989706,200.641323128971,199.750745761817,198.820381903129,197.617059328266,197.02558420057,196.581346099465,195.868579908255,194.868523038137,195.036335911879,195.298815087738,195.825674173053,195.208322728956,195.413885415763,194.84167705056,194.85849550281,194.42865373269,194.045086956102,193.787302754251,193.272666166621,192.354663274878,192.972435293688,193.546443337976,193.676761269737,194.220633332687,193.437573896271,192.866767732337,192.6487921128,192.039162785728,191.152794717244,190.732535572899,190.378298556399,190.274368574813
"B5",296.945727644072,273.615812890755,251.227844103958,234.285928050216,223.131337770544,221.545475369357,218.53616863233,213.130301677971,200.903301179873,194.888965592074,193.987937134505,193.710028240711,191.082117242618,191.823572350535,194.223301438198,194.463213909771,192.804022211754,194.330947178241,197.971268650646,201.46928161858,200.921926083612,200.372432849324,203.563175806073,204.3069100771,208.902995664807,209.63800276501,209.366800826798,214.828333089697,216.361129156586,218.007508168593,221.973197129678,221.368705109538,224.31058193724,224.678932390325,223.042079231445,226.259195377119,225.258121964378,226.282896589759,227.561942073181,227.945664419777,228.003714549486,229.450334690532,228.548178222226,228.433839970608,228.251995078787,231.098258790668,228.953152499961,228.165390565321,225.174005340324,222.417131440668,222.592586798441,220.998028195679,219.605305103197,219.514310857995,219.468568529491,221.617352886395,221.302141119144,220.284962757725,218.966940729999,218.137013715681,219.056003901417,218.813035328926,218.05585407849,217.035425827119,217.358234188234,215.905726997682,216.663088041043,215.059820775771,214.327271062903,213.651932276669,214.532036070969,212.950566562503,212.033065238422,210.744336084854,209.725420911257,210.307645302487,209.369833803538,208.689241667034,208.780382877993,207.445869088887,205.92684312134,204.926552211566,204.310144438288,203.924221431491,203.945338648161,202.377566253132,201.429804679158,200.717144955913,200.784577175842,200.748809158497,201.4034646987,200.83927088522,199.886745505755,199.619793489927,199.789053878017,199.176634067503,198.623083231611,199.599332394912,198.984335194916,198.520953173547,197.180990103305,195.784257811183,197.079695830232,196.43870224559,196.539968666496,196.277221326691,195.31291182205,193.91896660139,193.705626199269,193.12420233476,192.641081453211,191.409752504145,190.544650518094,191.102410160511,190.403990164703,190.085583109717,189.517985695056,190.45223606889,190.078233463516,190.322189110094,190.283035792568,190.576867627606,190.151038786363,189.724285064893,188.850527148018,188.003533758219,187.545856267274,187.913837419577,187.904308170032,187.891501667816,187.095111576942,187.963019279427,188.581101595652,188.036052860625,187.673301735021,187.31001050612,186.737659876025,186.893059800233,186.794968825819,185.902139275543,185.4327957464,185.298951452846,185.303006372353,184.898195795006,184.60361785146,184.96355659535,184.753987446579,185.020471814228,185.449809231151
"B6",280.035628277293,265.561238083126,258.735296791542,230.774933970459,217.064470566623,217.576356715477,206.940392429184,210.317189376386,209.261225822103,208.889313752386,207.59042621839,208.564201510059,213.528091554242,214.357967149604,215.799079384185,214.668370967862,213.257552008446,216.87212181651,221.578336725571,229.36020738271,230.896951698638,234.400444730657,235.12921146897,234.186081153497,234.295414102589,234.255557151701,232.766880922021,234.156969871798,237.924584653551,241.257789750798,243.047060873389,242.874348543807,242.77453780395,242.731535492573,243.886484050679,246.361206432033,246.039078567536,246.521287618541,244.137905911124,243.953888669662,246.469142484712,247.527132731533,246.944883970176,248.074767053627,246.501264291728,245.434855456788,242.63055183213,242.612887132065,241.446863887114,240.676561803328,237.951509639589,235.151225542082,235.287198619205,234.020290611325,232.918151094887,231.548529848489,231.210695282929,230.822430159072,229.810095376732,227.820502174435,228.338841449285,226.574639478143,224.925034153276,224.921304351514,225.37592911312,224.717031909657,222.805549645603,222.271677636386,221.548714965182,221.806525217664,222.418832137102,224.220476080004,223.974617167355,223.296196440408,223.506528017525,222.122544120196,221.240527406561,222.178651168498,223.111916254965,222.651298636492,221.828680948434,222.554817044839,222.480056734342,221.107169903404,220.2957693776,218.66397826787,217.88728350002,216.817923057685,216.051856261701,217.464236520608,216.175659682008,216.154030430609,215.534895891991,216.684084253421,216.380829365791,215.847695631412,215.910595643107,215.614963546547,216.737888502616,216.284123459315,215.204446859257,214.221884605113,215.312828529858,215.036942893939,214.407354058926,212.984210698383,213.471270732856,213.09243901802,212.441279112428,211.038703307683,210.627310814069,210.376635767099,210.949729173883,210.650155672634,210.874106033913,210.833520173469,209.8548738984,210.25022573929,209.650377316354,208.722226744317,207.78718726969,207.93312648858,207.312210690504,206.693043269284,205.827671937681,205.472910129109,204.619506262414,203.679717791142,203.027207161759,204.225014683835,203.207152810888,203.269905889707,203.225256097705,203.504714621154,203.145948679969,202.281910332634,201.470403904434,201.314219800953,201.369474968688,201.222664476735,200.434024190296,200.210636408977,199.516957499569,200.706303758451,200.456835866445,200.171428523049,199.397632367829,198.527807518821,198.383692728404
"B7",273.78102186017,247.638976425508,245.93610139541,220.52428529163,210.332885043956,212.861953481097,203.686133190963,205.15385135584,202.016410065512,200.532658594922,204.180678595821,202.779701315969,205.070240037196,207.17359845041,208.392400526867,207.637940463894,210.404489768712,217.742355680035,219.637847890951,218.860135799455,219.166924096773,222.958149318825,224.222358028067,224.817727988151,227.06708848343,230.515054057778,234.918069231033,237.598477218411,238.511741804426,237.921199617308,238.226231504103,238.54327984401,239.726435265483,239.661828425897,237.175524293366,238.520900128298,241.467169917255,240.766235769495,241.915416777674,241.702136764916,243.506821966711,242.633696806886,242.179365921657,241.862673038524,240.858341541211,240.167992062813,238.690840411717,237.918946544838,239.055159520405,238.937826515992,238.777931607135,236.018564947755,238.504970324086,237.744737237032,236.850631278262,235.909336762776,234.878736301818,232.907319710413,231.036246478927,229.910021914446,228.960194455234,227.046542985034,225.127591724928,225.200795709465,223.999742335476,223.391441977433,221.42724060584,220.586123975274,219.36792275137,219.298503712288,219.08622458035,217.393689796504,216.704986681463,218.099513551253,217.06840710334,217.341310394809,219.291622275761,217.695875058921,216.716265348151,216.141684250428,214.354460223027,212.817791514204,212.220967471738,212.645303920746,212.28121005063,211.308857310277,210.209816763981,209.812859563308,209.451288495318,209.545215279484,208.266785533915,208.867432383663,209.030238729483,210.074228660225,209.490026264483,209.412206960305,208.810742413193,208.303348652756,208.217638817537,207.264029491026,206.261812122094,204.913938812156,205.330499309248,204.421849623823,203.68362594264,202.867452137053,203.80649591264,202.977458708217,202.385155143629,202.704522827438,201.722094533805,201.126290753101,200.433642435111,200.039006075836,200.093844418863,199.807437430826,198.502928936655,197.424344866091,196.954094347965,198.135778321838,197.569610525124,196.617317248749,197.261410076883,196.156270824515,197.293092273975,198.080358250197,197.662814777519,198.150315245857,197.692279129268,197.141527666816,196.465316884379,195.698437145582,195.519291564184,194.950380763038,194.52466375414,194.236088628746,194.312049993563,193.352470548424,194.296515761116,193.849391941782,193.54318815854,193.944267501226,194.113720801432,193.65950603318,194.147877640422,193.68915477093,193.551576575859,193.070681911227,192.80719787966
"B8",265.288929924777,264.202431171775,240.527279329406,220.716131557661,212.503639598635,203.906694022679,203.52290951278,204.535403754536,207.278737806428,206.661480863295,206.855216063416,206.175839010697,205.195413979537,203.718163974068,205.389230043221,201.94841662608,204.699931820718,211.823188978532,215.012184449632,215.141934884417,218.605157575217,220.33356328922,221.894849264186,222.23102401631,223.048499346305,225.480785332297,224.963554947127,226.727135556499,228.208503532533,231.144253727367,233.019274488744,236.938039252295,240.723189945759,240.319809375216,240.553886861173,240.495672257228,241.252434588791,242.489426505164,240.103847686135,242.100745599957,243.359960911776,242.845186041971,241.733753680709,243.394979770448,243.708139908276,244.348199540295,242.562265453102,241.099706961074,240.251830937859,237.471265404773,236.488115371635,236.661936701762,236.225714950802,238.804380964683,238.745333236166,237.627513436107,235.44689271278,233.582864285506,232.150848488799,232.730742667272,231.050141761965,230.124495535678,228.485310153015,227.650944663776,228.654990069961,227.866913419261,227.029738727371,226.69249595148,227.675502386377,226.330298928118,225.435730667197,226.111549756617,224.600822650973,223.998424911172,222.221805195366,221.031319896862,219.193320391166,218.992327758922,217.213218275345,217.462521210852,216.553133130174,216.81311202267,215.953255329646,215.215777455395,215.165251786158,214.743366010517,214.045785605268,213.364634489346,212.051630122558,211.265053873366,210.336496873198,208.674936848655,207.729087870467,208.612266983093,206.932900312294,205.884927932894,205.941455016581,205.235968472123,204.392019576731,203.377416987112,204.455370289555,203.85149942571,203.364309406819,202.785877481963,203.023616431805,202.741151674366,204.009211068244,203.415508655238,202.983180344755,201.929243951873,202.932424210648,201.79418549076,202.941545848858,202.249306975333,201.119864900946,200.809180969229,200.096691940267,200.630285512114,202.040442204231,201.798477969621,201.23682218684,200.073771493952,200.358372734415,199.57485955376,199.006715667903,198.347358269991,197.877542242997,197.811868648488,196.79914683812,197.938324192295,197.165752115337,196.856508632868,195.992247309347,195.04176825624,194.128274483144,193.67644255415,193.586666619856,192.905358656993,192.666394256101,192.605001953212,191.888876418709,192.163385525386,191.427371644323,191.05119378815,190.997004485678,190.408775272449,190.293830583608,190.071038554461,189.807124432949
"B9",323.313344307042,282.374697188994,272.574874467483,241.070270211348,228.860808214681,219.327417367455,215.136389660913,216.58271398925,220.028004772645,219.331075356532,214.812718355279,213.249856290647,215.49709252749,218.233133213425,215.236338929856,214.589546319353,214.064917428182,213.627600054949,216.021573313709,215.153726603869,212.925126368376,215.149055885997,221.670826714096,224.29438787648,224.701384049642,227.48866605759,229.38460743279,229.550673623884,229.36109943669,228.212032825537,231.365833738366,232.360027232047,233.922836388181,232.479971395067,232.003727163861,232.270671152975,233.57625311808,232.982290045831,232.699575023645,233.450665438867,235.353773332731,234.854203946697,233.8968731748,233.399045859473,234.985691489815,233.435989895763,231.977125765391,230.781298226998,229.769823953026,227.443291854655,226.022918961439,228.255899788178,228.46212137396,226.003358541154,225.174370883997,222.937585387124,223.096943555986,221.770855069239,221.601469288902,219.858938819418,219.232290930777,220.419188270356,218.982670447553,217.351517217891,217.633210083693,218.403603366692,216.544609351495,215.722845420875,214.676858555307,213.907646757726,214.022078229228,212.79160831416,211.630202543977,211.256886774818,213.011235530178,212.455452786076,213.161723667097,211.492808288826,210.720071088809,209.338043489383,208.458745080678,209.09773224866,207.657107272771,206.430977901827,206.269722011099,205.214091947554,204.004099775382,205.712030920126,205.411145649423,206.822597501683,206.313574748687,204.660622751638,203.153812394955,202.630435775555,203.460619171457,202.84728393768,203.868273794014,202.709292951189,201.951033338882,201.89067615859,201.646423139115,202.528008405387,202.230405379052,202.777459918717,202.249581928857,201.795544159537,201.795498527384,201.186035676448,200.648754924221,201.574220761017,201.109535349948,200.902379716052,200.041884892804,199.686559028076,200.032764472441,199.873291405691,198.795140821938,198.526361294465,198.029236666435,197.519902450513,197.007273594651,196.954434278604,196.873891050697,196.29008028402,196.218264891812,195.462468785472,194.879250375658,194.012029080398,193.311651824852,192.97138069329,192.383995140069,191.330735730238,191.043922048934,191.447497284449,191.596492903201,192.739533760005,191.93541092403,192.065717134491,191.571916817592,191.190863502139,191.071636316895,190.907694938235,190.837103494915,190.051726556139,189.496269817896,190.295129350104,190.599505217473,190.848598525264,190.045059840288
"B10",319.610811655729,290.769707219283,256.331948896803,234.927222690124,228.403902249406,220.290041422813,221.69112860445,215.423547462043,214.098562303972,208.44401353436,208.734917167304,209.490550401336,211.264672243168,211.312571226212,208.69880767865,209.889152985758,209.395984729863,207.73508041183,207.698881095593,210.029866452396,210.513370112269,217.887481300223,220.322814383815,219.954781097474,218.90441777016,219.085931729137,222.23240298732,222.757290813294,226.084108436325,226.17362102336,227.568098890122,230.143071696772,230.560061467217,228.592416020764,230.185894985374,230.005355137385,232.577711385089,232.414303362751,233.262185714111,233.734318025193,234.911823780707,233.889897435515,234.680405456402,234.647782742596,234.052809379854,233.826627471668,232.889090096326,229.955400717395,228.482730260014,227.784702943889,227.356819636963,226.784127877547,224.160104490143,224.277014487883,223.61814436141,223.675924772671,222.742951611392,221.746299375044,220.757612878828,220.620702801065,219.596105515053,217.87702009168,216.88019152979,215.55043247699,213.972849369356,212.427012358549,211.320498030714,211.32070376153,209.635728538547,209.858725646787,210.753287098406,210.195276338087,208.458770563579,207.077890669511,206.21506409383,207.49323148253,207.722605745987,206.401816464888,208.164038733753,208.659700716036,207.030360549396,207.994327793637,206.794207196278,206.443428783112,205.582178416419,205.071478327967,204.695356725909,204.498686220847,202.96186383235,201.649081025559,201.528930733088,200.258607652451,198.707529848417,197.4255173079,197.627153745578,197.258235901227,197.278038664014,196.349711840931,197.795189757997,197.243420107459,196.867694749597,197.809175260752,197.038612317248,196.144443033391,195.799771011125,194.485034866255,193.884246957512,193.179888689665,192.749007240224,193.363507883502,192.899470764799,192.443564138021,192.737565158611,192.82060268599,192.425475024025,191.876241928668,192.94952823591,192.379635349696,191.417963782657,190.76152344825,190.335172408971,189.349790816464,188.840518277382,187.87890165835,188.954921087474,188.304503850992,187.769229211399,187.96850625079,187.384589723502,186.368195326215,186.987837369951,186.221753821946,185.560139032055,184.621162527192,183.755737760022,183.020216183875,182.378537286361,182.557118287232,182.562925438345,182.144959279168,182.601000850653,182.235122465444,182.426442820727,181.585331959697,180.706176348329,180.271598228223,179.74658039276,179.272890693453,178.852996220056
