"","k2","k3","k4","k5","k6","k7","k8","k9","k10","k11","k12","k13","k14","k15","k16","k17","k18","k19","k20","k21","k22","k23","k24","k25","k26","k27","k28","k29","k30","k31","k32","k33","k34","k35","k36","k37","k38","k39","k40","k41","k42","k43","k44","k45","k46","k47","k48","k49","k50","k51","k52","k53","k54","k55","k56","k57","k58","k59","k60","k61","k62","k63","k64","k65","k66","k67","k68","k69","k70","k71","k72","k73","k74","k75","k76","k77","k78","k79","k80","k81","k82","k83","k84","k85","k86","k87","k88","k89","k90","k91","k92","k93","k94","k95","k96","k97","k98","k99","k100","k101","k102","k103","k104","k105","k106","k107","k108","k109","k110","k111","k112","k113","k114","k115","k116","k117","k118","k119","k120","k121","k122","k123","k124","k125","k126","k127","k128","k129","k130","k131","k132","k133","k134","k135","k136","k137","k138","k139","k140","k141","k142","k143","k144","k145","k146","k147","k148","k149","k150"
"B1",480011.070830222,460297.548028496,446752.511139282,431605.349295362,418324.206294476,406460.199707364,391872.655264155,381236.010142617,368234.671670962,359867.2067273,349899.419511212,340617.071366674,333849.841048088,324016.808350518,314800.260521284,308808.936764555,300716.46332292,289499.063243092,282625.330313994,275394.051183536,268536.491326087,260006.962701665,252273.314664702,247411.070981559,240919.446196992,233565.026738624,228129.277171337,221820.512028629,217814.475345002,211886.910088059,206365.024299892,201938.362348311,198075.642968522,194414.496034318,190072.117578081,186592.318022736,182067.308387464,178891.847245543,175979.296755072,172483.19345293,169536.27701776,167942.299859027,165167.853666903,162183.583317759,160270.343610132,157958.586575952,156199.195117245,154622.572642281,153763.677780418,151856.149477028,149924.751963925,148800.543126962,147771.384852003,146204.526354639,144636.806410869,142969.74599153,141225.716446627,139364.050603915,138136.494895827,136539.165227662,135737.777627179,134986.240277176,132516.701186479,131210.208904441,130104.364219141,128685.072590466,127527.932419662,126732.558149613,125731.021252488,123895.128031477,122464.203978805,121509.525665024,120315.683175156,119543.851323927,118981.900523534,118082.402977282,117105.173660297,115844.95286515,115239.932936585,114766.945107386,114018.480058199,112998.980803136,111806.889227035,111314.745092017,110599.309481381,110241.919337227,109457.167868194,108403.908018068,107590.328356417,106643.081195188,105943.055047663,105582.087450904,105064.632434516,104408.570365374,103965.519967151,102705.279377943,101955.57583611,101338.817537321,99933.091976812,99723.8414481092,98420.9851199398,97760.2885959497,97060.7013059275,96670.1844661067,96424.3819289213,95731.176707804,95265.2416695015,94950.4844433265,94438.9642713619,93972.2032386971,93447.4091312789,92372.2129126079,92127.2223374978,91608.3901195235,91099.7052575419,90239.8959866181,89690.4853340242,89342.0389131361,88902.5539397162,88430.2282002063,87413.9057026909,86813.691486363,86560.9484160745,86142.1399907649,85737.1673771649,85223.6805572011,84405.9131712832,83996.9767282713,83198.4505713023,82904.1277900865,82501.8616216617,82176.0136965662,81933.8517770525,81221.2530757662,81043.9575004262,80661.2462062958,79923.3184558721,79375.2342842453,79001.3948879652,78587.4311029926,78305.6161113226,77659.1477284572,77306.3356180956,76899.7654663473,76743.1863230495,76313.1802532493,76064.3895134807,75903.6680638014,75691.5456985881
"B2",477060.477783151,456872.480512519,443496.648832172,429871.898506474,418832.632143908,405385.680632958,392491.448630403,381084.660668794,370626.228975212,361010.032591582,351789.144684561,340635.131651647,332765.921702282,324855.989507892,316689.116300316,307471.47484292,298516.716875418,289727.863386752,282330.272599662,272507.805751454,267066.659583039,261004.119060935,252508.976633034,247707.102549121,242109.158178698,236031.187950947,228484.952279408,222685.232377125,216331.873154186,210480.725976895,205877.923446937,201422.696045288,197914.367223107,193885.862743895,188739.955852285,186257.889083481,183969.668349194,180589.106718814,177769.067070824,174842.63842473,170773.890829219,168111.58229959,165270.449093291,163393.813479888,161105.965424964,158168.651132361,156487.75484219,152641.526171502,151113.580152001,149518.916116958,148165.211372598,147328.695159755,145913.969462557,142696.505378523,141170.087379548,139916.81169673,138809.545794286,136980.748901786,135324.226157859,134571.631043445,132867.61636511,130976.565455276,130230.970510942,129418.297473678,128625.056601919,127132.342923698,126148.060925845,125194.4147599,123593.780749308,122898.715447567,122078.621685378,121485.190265375,120495.759166467,119595.670561807,117844.011175613,116708.132131757,115454.958188837,114492.336125584,113200.140804823,112699.108499157,112351.649067785,111670.976546479,110662.738040034,110297.497674408,108636.575233407,108065.475304179,107716.392895788,106915.150665863,106449.150318507,105752.559440549,104979.779431619,104530.771443885,104008.254373359,103221.016266696,102807.951780884,101950.138565779,101263.386953512,99915.1655456005,99296.9502043353,98757.1176057314,98130.7527623137,96958.9100108554,95791.2548760505,95213.3930114434,94990.6357065784,94602.3494286963,94329.9228934594,93924.8648105135,93291.1568828265,92229.0938431185,91925.2241182927,91469.9224902056,91016.8379824569,90188.2909470843,89667.8308623725,89202.8213429962,88555.5872558318,88293.7572965374,87802.1405101103,87266.3278218065,86974.6327448231,86455.6626567184,86267.4424011433,85877.9261433429,85167.7046888188,84262.0062588994,83804.089943139,83464.4436446749,83048.7369112991,82834.490570873,82246.7674733269,81515.2565773861,81315.5773490677,80950.5333993488,80745.6900616921,80362.1778207023,80015.9865534988,79793.5433543629,79062.3947990485,78329.2525762756,78019.477323768,77522.7772581458,77206.944951116,76752.81948488,76372.3756578916,76213.505314321,75584.3493763032,74810.3266243069,74589.1907820109
"B3",474848.77968179,454646.1126167,440131.349383499,427359.658366773,413374.440925032,398790.337890595,387734.867614353,376706.56484886,367273.43244577,357014.684091323,347229.655230446,337789.431667639,329401.642988974,322134.077532274,312544.686643404,303387.406185571,297238.976266593,290562.433502388,281858.512402269,274449.260749818,267900.425502381,259639.443349134,253829.754319958,246207.52614109,240757.25028571,232801.486267016,227729.20066192,221889.270067934,216366.953274557,209733.018694718,205642.627503197,201611.742260221,197784.395574027,194608.318662326,189598.463488501,187158.019249683,183950.115941433,179437.924753929,176672.646542772,173612.930561751,170259.517399151,167464.716247821,165728.97216474,162915.020058758,160484.171974032,157626.254810379,155806.79673013,154270.772322436,152612.300043006,149383.450100914,147410.378585371,146586.434406755,144478.763771878,142967.347628749,141144.270772979,139681.40975368,138455.000899735,136880.753163023,135479.249182443,133877.821773732,132856.566236728,132008.053591996,130378.484889449,129209.378606659,128431.962213091,127750.564068609,126551.022716029,125462.082353222,124032.625723146,122686.807100324,121644.043841433,120702.005283115,119377.153542985,118591.455078708,117946.876873907,117365.789685464,116914.552412703,116250.354141338,115545.452590502,114764.034558476,114180.521064408,112808.783905878,111595.130404265,110381.982388867,108696.561476864,108351.342279865,107992.999828281,107606.987327393,106828.271685289,105877.230052401,104333.142623119,103876.022820936,103540.29944498,102990.922750566,102337.614801807,101822.12022964,101285.755111084,100603.20095304,100013.427498182,98739.481859252,98027.4318018508,97479.0809447006,96177.1912708571,95619.704622285,95075.487663741,94072.7477970411,93228.2888250793,92837.1214514921,91761.9867087034,91381.0543966982,90784.7754272576,90290.9593830917,89301.1654576252,88723.384149522,88268.8055976416,87378.8928477748,87099.7921630291,86853.4047870228,86339.475138246,85903.1237195024,85513.9875902478,85257.7575770305,84541.0610537878,83990.294013214,83533.4349594207,83116.9926263434,82140.8426128341,81952.0848452176,81620.2326612538,81260.4508714409,80842.7125416386,80572.9305789808,80187.1625172223,79889.4357742315,79190.7989399929,78908.0840674684,78127.0059404195,77740.4939396391,77358.4996514437,77194.831947017,76830.9113315195,76448.2329310655,76156.7334025983,75813.6884032787,75268.4398877751,74950.4876637222,74775.7108886442,74326.7285100373,73772.0925267547
"B4",471786.147093092,452467.038342143,434547.469813942,425119.799601647,410548.17182617,398837.911856508,387243.396954608,377406.086529757,366455.051993686,354120.572694682,344704.426204296,334876.874326241,327179.237953544,316968.579822405,307069.713728638,298198.642058597,292812.760346568,283809.861443346,277333.031976174,269538.381322498,262317.167234857,256985.513498941,250374.291304294,241262.994195888,233694.956822621,226470.398114279,221341.057910768,216337.062705039,210987.572721571,205797.283631298,202243.653539031,197720.600623088,192669.729754111,189010.337816593,186444.460406184,182806.625354403,179483.054486963,175530.857997361,172609.618186256,169693.937007129,166172.516526401,162754.754348152,160356.458448356,156290.719970568,152991.907712763,150924.667484294,149428.424503655,147673.77698126,145633.048326969,144815.826925518,143372.016005412,142329.890210153,140976.797737702,139164.642554492,137654.752621519,135870.521493522,135067.114209991,133619.498314881,132770.910241655,131920.04108145,130616.462742438,128599.115690885,127193.169476639,126016.178771284,124148.867529992,122529.728313787,121589.803402114,120792.756185019,120121.51598547,119161.051051597,118213.362285267,116876.20372654,116252.06237843,115783.628080482,115199.471861845,114388.108675687,113938.993950644,112026.050647133,111348.10503417,110940.425717069,110458.077619153,109779.161475068,109169.791170377,107362.068227202,106255.929952674,105550.520854697,104723.651121364,103928.00286165,102920.509756429,102409.268131564,100774.641575417,100049.620877278,99686.1484131698,99006.5486131166,98216.1221472449,97988.4218297255,97060.6271959803,96805.3075064458,96111.5675793871,95317.0206017209,94803.1666346606,94070.7961748165,93546.5393019498,92534.7709105348,92314.6438587085,91902.3380348434,91104.4629459825,90190.0668757428,89715.6137161843,89192.9533578183,88807.7400763601,88197.3250959042,87741.7099235605,87506.7718042256,87233.9510975958,86278.7622514119,85802.7276217653,85403.8764450991,85107.237277102,84831.878592432,84660.6559323578,84278.9641902906,83851.665334143,83526.3038261253,83309.5957641145,82684.3387916656,82033.968730395,81300.0542091482,80971.8084877139,80364.36947094,80032.0626599318,79502.7467425495,79132.7922441288,78752.4853594283,78334.703947977,78009.8394129917,77827.6231552989,77128.1469224345,76452.5179555755,75932.8678337089,75283.0190268925,75076.5282728628,74804.636592921,74421.0306906174,74170.7584279858,74015.9794032879,73711.8888653242,73390.3122606611,72990.873944267
"B5",476864.013437155,455331.603208036,438973.495610194,425386.437915984,412944.362593982,398977.258672042,386696.310867829,376555.664330039,370826.625967238,363283.711990582,353828.146824803,344581.126636376,337199.993408596,328321.709161716,318828.022141287,311003.604933394,304719.97437117,296779.512602798,287809.729881911,279225.42965081,273433.358087025,267907.097578401,260288.567323617,254429.690631748,246440.044417451,241024.41078609,236410.048194157,228589.531139876,223294.025646733,218113.585952478,211813.433526548,208227.528219466,202842.193805406,199006.73984825,196374.281111526,191274.328360886,188528.747820426,184832.080943994,181119.399180912,177970.966477633,175082.802349643,171595.915204325,169360.348102098,166815.327706504,164379.940792773,160569.323927443,159216.075513335,157280.670160428,156456.067756041,155584.118668233,153354.309360325,152029.908650634,150659.430516165,148712.868498791,146795.302323874,143900.248941842,142210.442224404,140887.200928604,139742.471088588,138410.825354991,136316.971407965,134794.200912127,133539.208708488,132435.927516579,130762.734081326,129915.038372617,128114.533616738,127390.04383281,126308.057414987,125227.871748975,123493.710239901,122861.24714615,121963.561185126,121251.46027416,120444.274717638,118962.69247012,118163.655122945,117274.259777874,116073.801630765,115505.311014834,115035.876140255,114361.714537513,113539.924204668,112636.832343448,111577.740172892,111214.548161299,110602.547525315,109905.425493169,108890.721248034,107937.162075609,106710.785943319,106011.532341448,105488.050673023,104692.153073271,103729.894223583,103104.391761303,102467.116614784,101217.886306655,100630.703338408,99993.7435304271,99722.7888181242,99487.0653024609,98171.0102872841,97649.3784376079,96841.4111798072,96189.8367386896,95826.7607290899,95644.8615240213,95001.3903651585,94514.0106301643,93996.5162771944,93785.4673913759,93437.4137771466,92531.6647265606,92133.4750441903,91593.1448629712,91159.1667789549,90145.0738962654,89651.5576148433,88927.0782566676,88320.683789132,87595.8072137327,87152.7320066773,86716.8879670258,86457.074042163,86193.802946701,85789.0071216689,85078.5383560016,84518.4847658769,83966.8065811795,83713.6238698432,82848.5271053404,82087.0101805596,81757.4288839579,81366.9306228399,80982.1192696207,80678.5231299523,80116.7240269877,79652.6134841611,79479.4572633071,79158.8095086651,78722.4786669497,78242.1841202905,77912.9463925428,77549.1028346526,76958.3887756748,76574.3968221305,76028.5104735623,75432.4995702147
"B6",479210.865494182,457440.292180532,438009.306649061,427125.927554738,415715.376080291,401171.471034848,392240.229774099,378472.375416208,367396.270465969,356707.486962908,347140.652839304,336956.303268653,325078.989361517,315891.508307757,306801.046907114,299571.489345293,292910.91151775,283711.267707543,274231.350197089,263393.591324269,256356.248199964,248540.755925045,242504.382363344,237616.036416741,232393.777870025,227469.393473117,223523.159268114,218230.428039393,211892.329548842,206002.385310123,201089.259271694,197315.978429626,193649.509145793,190090.505861313,186080.069632225,181577.448629328,178527.851040642,175211.197471322,173330.304115817,170519.068120263,166567.780077067,163389.612616528,161033.518292709,158001.614674213,156234.472090986,154313.782376395,153220.164181187,150966.737200524,149276.95472458,147472.201192614,146573.303120157,145764.354168731,143715.26307199,142330.63232688,140920.047025456,139670.469509368,138013.977479278,136422.464485082,135140.716393198,134318.761919977,132452.015155377,131602.386802613,130737.988899305,129198.908839628,127500.822939271,126308.294393523,125674.498870442,124486.252415311,123405.895907577,121941.73188051,120361.940583198,118332.142740476,117166.686037592,116199.312184133,114900.38802184,114258.927535996,113438.645590539,111920.032174199,110433.637604375,109511.321052378,108747.433463968,107409.476257228,106398.578236867,105896.14833851,105197.687824374,104826.129736921,104145.744131864,103591.642212568,102937.084305695,101477.668489323,101047.520729553,100158.245437822,99505.4213276147,98215.4281192224,97474.6612794001,96830.2983677491,95982.9259413606,95277.8893051448,94081.0132335011,93457.7397588083,93065.9530098287,92650.439357009,91517.5104591056,90875.7514587543,90366.7779421816,90142.5686388753,89265.9124234995,88698.9781056292,88234.6387887029,88037.1751638033,87507.343172844,86931.1168498785,86083.8252913362,85542.6511483627,84834.1040440531,84223.6290173266,83933.659455868,83194.3109249981,82792.8171120949,82506.7914328438,82229.9864287498,81602.6318687002,81235.2247174373,80873.6798919733,80599.4210926827,80163.4285148889,79897.4088724412,79665.8906151161,79345.6468480428,78426.0748111077,78235.9436630665,77700.4634338507,77206.3067222131,76614.7236343995,76233.4697997957,76018.5332892801,75791.9476339541,75361.0190020098,74868.459592019,74445.5551099969,74230.1655148938,73840.9608272793,73604.6038854462,72783.3218178638,72417.5057506955,72067.3496926228,71872.337244146,71711.2960054469,71329.6776252436
"B7",480682.318503225,461292.187465453,441772.337592703,430915.26715109,418816.47630095,403739.637599668,394373.256981072,381546.255561503,371612.945795094,361648.655440167,349597.204131143,340748.427360812,330370.683271406,320522.867047431,311589.304350869,304200.330220708,295125.156265402,283744.929235826,275854.127591124,269812.310639943,263442.433719359,255351.58891744,248975.544499486,243224.541059331,236781.526418286,229918.53028435,222794.24151994,216828.559783104,211986.9911851,208096.497169372,203905.030498245,199861.712505402,195529.463838173,191964.012130151,189731.343967277,185708.667393586,181041.14858302,178261.629117628,174702.161480988,171891.96131167,168237.749919263,165918.15538738,163487.594962146,161073.102798452,159045.331926743,156945.133244931,155266.32158604,153332.449116532,150609.700541356,148509.967869027,146487.734714939,145656.172737819,142589.467853284,140985.761620796,139486.018611657,138050.944596207,136696.517212137,135783.368736081,134867.614793941,133670.942597919,132435.219963105,131647.163747796,130896.600025821,129322.378123445,128326.932866811,127108.655695784,126499.214671783,125437.762759044,124565.27766691,123228.842264142,121981.454175028,121386.463318736,120390.027005413,118543.33513317,117738.048457307,116414.01835456,114434.212129749,113920.835103134,113177.799030437,112289.972726704,111912.534474341,111452.847406665,110627.571951143,109406.302113692,108523.101263658,107901.02629271,107345.755076753,106523.707720421,105703.254923371,104717.287341397,104291.357836467,103135.346400453,102169.797832814,100880.332952877,100235.327749549,99409.294655448,98796.1213816344,98159.1280893649,97374.3362816505,96929.5048097561,96514.1021034315,96240.8810667726,95309.3734029044,94889.7601717532,94415.861481335,93981.1435098098,92897.9031190091,92486.5436372161,91996.1470814798,91177.1545967316,90848.8808048072,90386.3274171047,89967.9064253318,89447.7763040002,88771.1373131173,88228.3298199361,88065.3306336698,87827.8381804473,87374.2779227259,86326.715284082,85923.3243599312,85666.4544051962,84841.0479793361,84651.5973321574,83667.8189003504,82822.0613171002,82407.127170142,81684.2500547072,81296.2439487455,80946.1572559038,80645.1140865784,80381.0425830341,79919.6931056843,79598.2712397961,79232.9528516753,78825.9415628049,78299.9599427165,78132.7406752966,77323.4827887389,76991.8008929222,76617.5664675054,76011.8692634518,75490.1657931066,75180.2387909819,74564.7340709497,74265.4679855606,73865.6605651634,73582.2608686578,73232.2954749279
"B8",474273.748783217,451684.607041202,436415.419483655,424429.89582207,411827.703517401,401152.824963128,388557.745444332,376133.560475114,363538.917480437,353157.706267481,342985.759325939,333830.465428534,325371.824635122,317689.128755434,308654.354168296,302982.120165914,294053.220767364,282897.522957402,274372.442808136,267915.69491599,259831.393825299,253019.722046095,246563.0059575,241038.146116777,235469.477981627,229223.70748249,224809.934581692,219337.023273245,214208.254449456,208492.605461882,203521.838533386,197685.351877846,192121.094428625,188777.548214072,185248.97521088,181982.780540501,178441.746031839,174790.521667691,172944.156681872,169142.68016182,165794.183094245,163346.601904667,161249.123962193,157986.697195216,155410.140721728,152767.36857603,151247.594940829,149648.860019742,147842.127508076,146931.641336671,145292.657001298,143204.52616699,141433.283970951,138436.580958774,136612.476105056,135274.033218505,134419.297126277,133473.802135159,132386.383740372,130497.415223258,129585.188517948,128394.146018114,127532.371435524,126368.493815344,124479.875793183,123360.153615938,122289.487123708,121044.230459398,119298.638194057,118513.554153168,117573.605232589,116035.993678808,115387.659835559,114403.67525622,113904.96829143,113196.360285636,112765.809013062,111705.183134994,111290.769146243,110090.662035027,109368.423034593,108204.954697548,107498.780081022,106761.720173014,105774.307373834,104948.210754676,104244.454940223,103549.572492605,103112.732771148,102487.305088163,101930.561995764,101671.041343232,101147.999451619,99932.1147271311,99716.2002011168,99270.1838272404,98410.6916166421,97856.4451229842,97366.7157171681,96953.6588885082,95752.9249324926,95204.7314643734,94622.9600219689,94085.8934000373,93252.9270785145,92625.7702631928,91437.4323608613,90946.0252581047,90404.7510596488,90099.2742751267,89054.6848202285,88795.3151140894,87722.5898032573,87318.4716792421,87078.1957888388,86553.3934678108,86179.5095664667,85371.1253559744,84269.2918910457,83753.9367097369,83356.1913645478,83173.0719732869,82496.6314766817,82195.1412269652,81825.9290499717,81494.3171487362,81103.6942142756,80580.8493113053,80388.1161902085,79468.397536664,79204.2954119661,78789.2992052837,78567.0680168067,78379.5624124105,78185.0917721372,77839.13804707,77375.8402158141,77117.7211828071,76715.1626388522,76258.1508725867,76025.940989503,75466.7275936854,75250.0652853643,74917.842287766,74483.1377255478,74230.3468523403,73825.015912958,73459.9684084245,73112.8666565867
"B9",475706.134102512,455050.154373242,435240.505104056,424524.691558139,412060.964552746,400834.242025914,389098.2058386,375961.218094785,362587.974268721,351811.997033307,343672.597567889,334721.800823563,324278.126445964,314019.193453884,307370.086783749,299863.884608711,292686.163580578,285824.430725186,277647.619317279,271680.462389802,266815.29446317,259595.55677993,250161.955639246,243262.840129777,237852.775947981,231336.112994819,225537.505771576,220882.080263858,216599.069047954,213001.830019583,207258.351735463,202836.228250199,198272.301064765,195400.206588336,192153.473798391,188645.621139215,184731.607884143,181886.651240505,178987.137346627,175674.900143155,171906.310827319,169397.252213816,167189.418062726,164839.124062607,161581.580826332,159873.874929958,158189.545858216,156444.865724053,154674.163108778,153577.517120611,152111.184778925,148995.317959293,146884.72893123,146044.173563077,144502.898545692,143653.672330194,141745.614179311,140561.274069449,138888.532776585,137971.602193066,136582.900036915,134413.13639349,133461.026903953,132629.732022874,130972.0111203,129135.158290949,128492.334536519,127419.783545737,126474.110749573,125432.982431231,124030.08917962,123242.884101525,122449.783294077,121335.114035831,119326.35105851,118340.821777081,116842.564232395,116371.640925617,115541.765823943,114989.595166442,114243.223366732,112874.72354288,112400.769551134,111854.461575361,110876.524163711,110291.443882175,109787.51356423,108080.0653087,107229.001901738,105696.603744974,104963.35249701,104706.569807013,104405.796299306,103717.927429642,102496.476103775,101871.978409004,100609.354309407,100226.187612158,99695.9501153364,98901.1999285723,98191.3062364643,97055.0156942657,96390.6713399395,95413.6326680949,94859.8563292811,94287.9512044795,93553.9785377018,93060.5812475078,92549.1619811512,91499.5259220174,90979.9092324795,90373.7488037793,90017.8167824564,89483.3567069382,88699.9208981204,88111.3630068356,87865.643886492,87332.2397147856,86889.6206089906,86458.7258059327,86036.1558053597,85454.4117650854,84890.4987667003,84514.3603422547,83961.5743963389,83659.8373960896,83302.7136867773,83053.250639883,82750.2029210527,82324.2402317653,81992.4932679138,81833.1748652657,81405.0893562509,80737.3296849437,80167.6272895463,79258.6018310969,79034.8337501681,78492.2648982681,78171.0019081563,77815.802042178,77375.5955862298,76956.020062671,76509.7962056204,76311.8579050859,76040.0714524254,75313.6189714577,74761.970471902,74235.1043903215,74062.8852350031
"B10",471549.473140595,449403.452473121,434781.435280322,422263.587100917,408328.193224098,396692.177037497,382727.443864862,372931.160222489,361940.700006361,353859.111371292,343557.200344211,333560.279531548,323506.666655854,314852.831533473,308151.855553228,299715.039784938,292620.909742243,286573.541508092,279902.294920937,272123.505108106,265724.093066394,255562.612838603,248568.506816998,243417.021344449,238878.983187272,233847.5212067,227343.217319541,222512.950060286,216326.033859803,212091.450732034,207314.820640612,202079.871142773,198136.35607979,195566.659805236,191272.027265472,188017.872815479,183488.344191015,180453.839636991,177022.974429873,173880.717900946,170497.142620237,168260.047275139,165242.405105053,162697.922552625,160492.134053562,158185.496445694,156275.722909973,155354.203344174,153814.445557206,151970.702978914,150057.5285713,148265.417229771,147471.553888218,145458.035893838,143851.119707723,141962.55638162,140569.91724955,139247.259446023,137960.436895078,136327.191169278,135131.476584272,134283.66730411,133144.294786551,132187.887263938,131375.470762444,130579.958040493,129614.602273115,128176.106787573,127528.635568585,126045.416972267,124294.264489544,123218.593912499,122689.457388586,122026.815852363,121156.191952165,119361.628441036,118058.492998469,117452.199679929,115534.209914238,114191.53864565,113769.908848398,112271.004070697,111702.258817967,110794.736960543,110117.921004871,109311.08489275,108464.622825793,107560.167816735,107225.946054159,106814.431540848,105921.158063017,105519.843604561,105250.185148577,104882.506452678,103906.418452854,103182.730644279,102311.177625842,101844.162353078,100415.706279087,99817.8021421844,99159.9610664416,97985.5607524154,97508.8327150092,97091.7577913281,96465.7085737894,96236.3903220073,95731.8380835204,95278.1498770868,94724.5743746235,93766.2818196519,93245.0166970358,92729.3665920214,91929.271552624,91222.1384202305,90709.2401571961,90263.908667943,89205.3194440321,88783.81678738,88518.7000359614,88144.7626193354,87690.3881776992,87455.8174861567,87046.7667133732,86816.995276444,85820.1644249141,85484.5331195211,85111.8798739792,84470.0426687991,84128.0549677806,83953.9492675996,83174.7856212062,82918.0535310427,82628.209834792,82447.3215003065,82244.8255195386,81999.2971015713,81723.9448670298,81147.0246260626,80641.0086009384,80297.6412104805,79637.2695159362,79285.0133015124,78734.3205097336,78564.9870615,78414.4829530451,78105.9433853937,77834.9307932635,77549.5017558561,77248.7042586107
